UTC_TIME,FUEL_USED_2,FUEL_USED_3,FUEL_USED_4,FW_GEO_ALTITUDE,VALUE_FOB,VALUE_FUEL_QTY_CT,VALUE_FUEL_QTY_FT1,VALUE_FUEL_QTY_FT2,VALUE_FUEL_QTY_FT3,VALUE_FUEL_QTY_FT4,VALUE_FUEL_QTY_LXT,VALUE_FUEL_QTY_RXT,FLIGHT_PHASE_COUNT,FUEL_USED_1,Flight,MSN,total_fuel_used,Fuel_On_board_tanks,FOB - total_fuel_used,fuel_used_per_minute_FOB_diff,fuel_used_per_minute_total_fuel_used_diff,cummalitive_fuel_used,initial_FOB,initial_FOB_calculated,fuel_used+FOB,diff_initial_FOB_fuel_used+FOB,predicted_FOB,diff_initial_FOB,alititude_diff,diff_FOB,Real_FOB-predicted_FOB,FAKE_LEAKAGE
7/21/2015 3:51,2454.501465,2444.412842,2481.687988,336,30967,0,1918,2620,2604,1920,10939,10967,8,2445.828857,988,F-RBAD,9826.431152,30968,21140.56885,0,0,1182815806,30964,30965,40793.43115,-9829.431152,21137.56885,-1,0,0,9829.431152,30967
10/29/2016 8:30,79.7649765,73.33239746,71.39646149,1840,24325,0,1819,2505,2439,1752,7897,7915,8,78.55875397,1772,F-RBAD,303.0525894,24327,24021.94741,0,0.49230957,1769479424,24976,24978,24628.05259,347.9474106,24672.94741,-2,55,0,-347.9474106,
10/29/2016 8:30,79.86224365,73.44165802,71.50579834,1890,24311,0,1821,2508,2436,1751,7896,7912,8,78.66672516,1772,F-RBAD,303.4764252,24324,24007.52357,-14,0.423835754,1769479727,24976,24978,24614.47643,361.5235748,24672.52357,-2,50,-14,-361.5235748,
10/29/2016 8:30,79.98683929,73.55095673,71.62932587,1935,24294,0,1821,2510,2432,1750,7892,7900,8,78.78826141,1772,F-RBAD,303.9553833,24305,23990.04462,-17,0.47895813,1769480031,24976,24978,24597.95538,378.0446167,24672.04462,-2,45,-17,-378.0446167,
10/29/2016 8:30,80.09703827,73.65994263,71.75314331,1972,24275,0,1820,2509,2429,1751,7892,7886,8,78.91007996,1772,F-RBAD,304.4202042,24287,23970.5798,-19,0.464820862,1769480336,24976,24978,24579.4202,396.5797958,24671.5798,-2,37,-19,-396.5797958,
10/29/2016 8:30,80.22251129,73.78286743,71.86302185,2008,24252,0,1819,2505,2427,1752,7884,7877,8,79.00455475,1772,F-RBAD,304.8729553,24264,23947.12704,-23,0.45275116,1769480641,24976,24978,24556.87296,419.1270447,24671.12704,-2,36,-23,-419.1270447,
10/29/2016 8:30,80.33227539,73.89186859,71.97213745,2040,24232,0,1818,2502,2426,1753,7870,7871,8,79.12606049,1772,F-RBAD,305.3223419,24240,23926.67766,-20,0.449386597,1769480946,24976,24978,24537.32234,438.6776581,24670.67766,-2,32,-20,-438.6776581,
10/29/2016 8:30,80.44333649,74.01525879,72.08181,2069,24220,0,1816,2500,2421,1755,7873,7863,8,79.23451233,1772,F-RBAD,305.7749176,24228,23914.22508,-12,0.452575684,1769481252,24976,24978,24525.77492,450.2250824,24670.22508,-2,29,-12,-450.2250824,
10/29/2016 8:30,80.55263519,74.11058044,72.2039566,2099,24198,0,1815,2494,2418,1752,7873,7860,8,79.35616302,1772,F-RBAD,306.2233353,24212,23891.77666,-22,0.448417663,1769481558,24976,24978,24504.22334,471.7766647,24669.77666,-2,30,-22,-471.7766647,
10/29/2016 8:30,80.67691803,74.23322296,72.31446838,2128,24181,0,1815,2496,2409,1747,7880,7843,8,79.46463776,1772,F-RBAD,306.6892471,24190,23874.31075,-17,0.465911865,1769481865,24976,24978,24487.68925,488.3107529,24669.31075,-2,29,-17,-488.3107529,
10/29/2016 8:30,80.81247711,74.35166168,72.43865967,2154,24173,0,1814,2495,2406,1744,7883,7833,8,79.58656311,1772,F-RBAD,307.1893616,24175,23865.81064,-8,0.500114441,1769482172,24976,24978,24480.18936,495.8106384,24668.81064,-2,26,-8,-495.8106384,
10/29/2016 8:30,80.97227478,74.52895355,72.53502655,2184,24173,0,1814,2495,2407,1743,7889,7826,8,79.68136597,1772,F-RBAD,307.7176208,24174,23865.28238,0,0.528259277,1769482480,24976,24978,24480.71762,495.2823792,24668.28238,-2,30,0,-495.2823792,
10/29/2016 8:30,81.16431427,74.72136688,72.65857697,2214,24176,0,1813,2496,2405,1742,7897,7823,8,79.80374908,1772,F-RBAD,308.3480072,24176,23867.65199,3,0.630386353,1769482788,24976,24978,24484.34801,491.6519928,24667.65199,-2,30,3,-491.6519928,
10/29/2016 8:30,81.32243347,74.88741302,72.76754761,2242,24181,0,1813,2495,2405,1740,7909,7817,8,79.91213989,1772,F-RBAD,308.889534,24179,23872.11047,5,0.541526794,1769483097,24976,24978,24489.88953,486.110466,24667.11047,-2,28,5,-486.110466,
10/29/2016 8:30,81.45307922,75.00522614,72.89363861,2272,24178,0,1813,2495,2405,1739,7914,7815,8,80.03448486,1772,F-RBAD,309.3864288,24181,23868.61357,-3,0.496894836,1769483406,24976,24978,24487.38643,488.6135712,24666.61357,-2,30,-3,-488.6135712,
10/29/2016 8:30,81.56894684,75.13691711,73.00622559,2303,24180,0,1812,2495,2406,1738,7915,7814,8,80.14318848,1772,F-RBAD,309.855278,24180,23870.14472,2,0.468849182,1769483716,24976,24978,24489.85528,486.144722,24666.14472,-2,31,2,-486.144722,
10/29/2016 8:30,81.69594574,75.2515564,73.11790466,2334,24170,0,1811,2493,2407,1737,7915,7813,8,80.2519455,1772,F-RBAD,310.3173523,24176,23859.68265,-10,0.46207428,1769484026,24976,24978,24480.31735,495.6826477,24665.68265,-2,31,-10,-495.6826477,
10/29/2016 8:30,81.79476929,75.36517334,73.23051453,2368,24161,0,1811,2489,2407,1737,7913,7810,8,80.36043549,1772,F-RBAD,310.7508926,24167,23850.24911,-9,0.433540344,1769484337,24976,24978,24471.75089,504.2491074,24665.24911,-2,34,-9,-504.2491074,
10/29/2016 8:30,81.90634155,75.46075439,73.35824585,2402,24156,0,1811,2484,2411,1736,7909,7809,8,80.48258972,1772,F-RBAD,311.2079315,24160,23844.79207,-5,0.457038879,1769484648,24976,24978,24467.20793,508.7920685,24664.79207,-2,34,-5,-508.7920685,
10/29/2016 8:30,82.01626587,75.58513641,73.47138977,2438,24156,0,1811,2482,2413,1740,7904,7806,8,80.59093475,1772,F-RBAD,311.6637268,24156,23844.33627,0,0.455795288,1769484960,24976,24978,24467.66373,508.3362732,24664.33627,-2,36,0,-508.3362732,
